sector,sector_id,year,LP,K,NET,LH
公務,26,1998,6518.927485,846.6,1436.093978,371668.5
教育,27,1998,5028.354133,250,1152.714974,342022.45
保健衛生・社会事業,28,1998,3379.1178,1121.4,926.0981393,705216.61
その他のサービス,29,1998,2528.040997,461.2,931.6249252,1058606.25
農林水産業,1,1999,1029.495355,293.3,628.1023883,724646.3
鉱業,2,1999,6164.08976,7.9,1008.344305,15619.5
食料品,3,1999,4976.603401,240.9,619.9341887,296820.92
繊維製品,4,1999,1392.503853,107.4,614.7077341,237442.79
パルプ・紙・紙加工品,5,1999,4612.727352,40.1,594.7533383,62713.44
化学,6,1999,11654.80712,613.5,433.4577381,74876.4
石油・石炭製品,7,1999,117328.3445,106.8,111.422867,6895.35
窯業・土石製品,8,1999,3702.007738,43.8,637.4744394,97879.32
一次金属,9,1999,8485.815379,148.7,262.4914881,94962
金属製品,10,1999,3292.843546,147.8,583.493741,208309.32
はん用・生産用・業務用機械,11,1999,3898.43567,441.6,607.6819278,319215.22
電子部品・デバイス,12,1999,898.3577467,266,458.0009106,140344.98
電気機械,13,1999,2872.306238,1738.9,634.4306914,164049.36
情報・通信機器,14,1999,1745.938851,198,705.7973153,74687.61
輸送用機械,15,1999,5926.43039,387.2,367.1874578,213354.4
その他の製造品,16,1999,1831.350162,589.3,666.0518269,449695.54
電気・ガス・水道・廃棄物処理業,17,1999,16526.85916,167.7,610.4211298,107302.3
建設業,18,1999,2937.977316,255.2,799.3456354,1319962.54
卸売・小売業,19,1999,3374.451046,2129.5,1160.55754,2090340
運輸・郵便業,20,1999,3489.818174,748.8,683.9527553,747457.28
宿泊・飲食サービス業,21,1999,2857.751594,360.2,899.0731695,640013.64
情報通信業,22,1999,7241.638217,3778.9,696.1994381,260258.79
金融・保険業,23,1999,6855.325996,3361.7,1308.674944,333479.4
不動産業,24,1999,26630.39669,204.6,2062.678511,197452.56
専門・科学技術、業務支援サービス業,25,1999,2604.801446,1313,1350.676164,885272.85
公務,26,1999,6650.969783,910,1512.618823,368952.21
教育,27,1999,5187.167767,282.4,1212.476073,334072.48
保健衛生・社会事業,28,1999,3436.531125,1232.5,980.1067172,721268.02
その他のサービス,29,1999,2591.433363,469.6,982.8593766,1030761.6
農林水産業,1,2000,1152.877357,283.3,662.5912408,695295.12
鉱業,2,2000,7258.385797,8.3,1051.496944,14759.48
食料品,3,2000,4860.927099,267.2,636.8193816,298101.57
繊維製品,4,2000,1444.690029,110.2,643.8971182,208889.1
パルプ・紙・紙加工品,5,2000,4928.736798,43.7,621.879521,61528.95
化学,6,2000,10898.62772,693.3,452.1267704,78919.11
石油・石炭製品,7,2000,118941.1706,124.2,117.6266777,6830.94
窯業・土石製品,8,2000,3814.73786,46.1,667.2758457,98240.04
一次金属,9,2000,9522.516159,155.7,273.1152429,94548.54
金属製品,10,2000,3270.764999,156.9,608.1217958,211546.84
はん用・生産用・業務用機械,11,2000,4109.555218,471.9,638.1377425,324008.3
